No filter
Compute time
0.00120

Box Filter
Kernel size X axis, Kernel size Y axis, Compute time
3, 3, 1.89337
3, 41, 2.10942
3, 79, 2.45243
41, 3, 1.68382
41, 41, 2.10710
41, 79, 2.68976
79, 3, 1.82680
79, 41, 2.22308
79, 79, 2.39571

Median Filter
Kernel size, Compute time
3, 1.70121
21, 35.61617
39, 36.62195

Gaussian Filter
Kernel size, Sigma value on X axis, Sigma value on Y axis, Compute time
3, 1, 1, 14.88828
3, 1, 51, 1.52854
3, 1, 101, 1.00576
3, 51, 1, 1.31295
3, 51, 51, 0.97415
3, 51, 101, 0.98520
3, 101, 1, 0.94602
3, 101, 51, 0.94961
3, 101, 101, 0.92891
41, 1, 1, 4.66579
41, 1, 51, 4.75490
41, 1, 101, 4.74113
41, 51, 1, 13.22351
41, 51, 51, 13.03498
41, 51, 101, 13.28105
41, 101, 1, 13.25862
41, 101, 51, 13.19888
41, 101, 101, 13.18127
79, 1, 1, 8.74829
79, 1, 51, 8.57703
79, 1, 101, 8.73818
79, 51, 1, 48.04965
79, 51, 51, 47.98837
79, 51, 101, 48.17326
79, 101, 1, 48.07926
79, 101, 51, 75.83516
79, 101, 101, 64.31391

Bilateral Correction
Kernel size, Sigma color value, Sigma space value, Compute time
3, 1, 1, 5.41136
3, 1, 51, 5.17886
3, 1, 101, 5.16517
3, 51, 1, 5.21345
3, 51, 51, 5.30430
3, 51, 101, 5.18247
3, 101, 1, 5.33193
3, 101, 51, 5.39643
3, 101, 101, 5.34128
7, 1, 1, 23.07899
7, 1, 51, 23.15382
7, 1, 101, 23.10647
7, 51, 1, 23.16421
7, 51, 51, 23.07636
7, 51, 101, 23.16740
7, 101, 1, 23.07235
7, 101, 51, 23.18042
7, 101, 101, 23.16540
11, 1, 1, 61.90215
11, 1, 51, 61.86251
11, 1, 101, 61.82356
11, 51, 1, 62.31470
11, 51, 51, 61.76314
11, 51, 101, 61.86240
11, 101, 1, 62.19158
11, 101, 51, 62.01849
11, 101, 101, 61.76481

Dilate Filter
Kernel size, Compute time
3, 0.54062
25, 1.77963
47, 3.29849

Erode Filter
Kernel size, Compute time
3, 0.42838
25, 1.73789
47, 3.50984

Sobel Fitler
Display direction, Kernel size, Derivative on X axis, Derivative on Y axis, Compute time
0, 3, 1, 1, 8.11246
0, 3, 1, 2, 6.89198
0, 3, 1, 3, 6.70226
0, 3, 2, 1, 6.70424
0, 3, 2, 2, 6.82228
0, 3, 2, 3, 6.70182
0, 3, 3, 1, 6.50471
0, 3, 3, 2, 6.75957
0, 3, 3, 3, 6.64802
0, 5, 1, 1, 8.10653
0, 5, 1, 2, 7.92689
0, 5, 1, 3, 8.06546
0, 5, 2, 1, 7.99868
0, 5, 2, 2, 8.04228
0, 5, 2, 3, 8.11077
0, 5, 3, 1, 7.90800
0, 5, 3, 2, 8.02722
0, 5, 3, 3, 7.86978
0, 7, 1, 1, 9.39690
0, 7, 1, 2, 9.56823
0, 7, 1, 3, 9.19155
0, 7, 2, 1, 9.33916
0, 7, 2, 2, 9.51566
0, 7, 2, 3, 9.27125
0, 7, 3, 1, 9.45545
0, 7, 3, 2, 9.63417
0, 7, 3, 3, 9.31522
1, 3, 1, 1, 43.40219
1, 3, 1, 2, 44.91328
1, 3, 1, 3, 45.45592
1, 3, 2, 1, 45.64858
1, 3, 2, 2, 45.91095
1, 3, 2, 3, 46.01452
1, 3, 3, 1, 45.53418
1, 3, 3, 2, 46.04202
1, 3, 3, 3, 45.79423
1, 5, 1, 1, 47.23789
1, 5, 1, 2, 47.40844
1, 5, 1, 3, 47.33222
1, 5, 2, 1, 47.53287
1, 5, 2, 2, 47.52996
1, 5, 2, 3, 47.92092
1, 5, 3, 1, 47.37985
1, 5, 3, 2, 47.46654
1, 5, 3, 3, 47.23182
1, 7, 1, 1, 48.50532
1, 7, 1, 2, 48.41406
1, 7, 1, 3, 48.41767
1, 7, 2, 1, 48.58382
1, 7, 2, 2, 48.93503
1, 7, 2, 3, 48.79439
1, 7, 3, 1, 48.26118
1, 7, 3, 2, 48.75787
1, 7, 3, 3, 48.70526

Canny Filter
Kernel size, Low treshold, High treshold, Compute time
3, 1, 1, 3.76365
3, 1, 128, 3.19309
3, 1, 255, 3.54436
3, 128, 1, 3.44646
3, 128, 128, 1.88406
3, 128, 255, 1.81763
3, 255, 1, 3.22265
3, 255, 128, 1.73577
3, 255, 255, 1.53699
5, 1, 1, 3.65056
5, 1, 128, 3.89071
5, 1, 255, 3.81134
5, 128, 1, 3.70145
5, 128, 128, 3.46375
5, 128, 255, 3.50238
5, 255, 1, 3.92278
5, 255, 128, 3.48057
5, 255, 255, 3.05300
7, 1, 1, 3.82180
7, 1, 128, 3.72788
7, 1, 255, 3.90421
7, 128, 1, 3.79980
7, 128, 128, 3.82082
7, 128, 255, 3.73927
7, 255, 1, 3.92860
7, 255, 128, 3.81510
7, 255, 255, 3.92075

Emboss Filter
Emboss direction, Compute time
0, 1.62445
2, 1.68897

Lens Distortion
Distortion amount, Distortion radius, Compute time
-100, 0, 11.93793
-100, 225, 28.00559
-100, 450, 28.41014
0, 0, 10.96195
0, 225, 22.18699
0, 450, 22.07453
100, 0, 10.96295
100, 225, 28.11500
100, 450, 28.31653

